ID,Example_ID,Text_ID,Sentence_Number,Translated_Text,Primary_Text,Analyzed_Word,Gloss,gramm,page,pnm,pnm_parsed,Comments,Language_ID,Source
6,ner2-007,ner2,007,E eu matei lagartas.,Morarame yrara wone rahkene.,Morarame	yrara	wo-ne	rahkene,então	lagarto	matar-tnsPdist	consumação,INT N VT -ASP PP,2,morarame yrara wone rahkene,morarame yrara wo�ne rahkene,2,apa,koehns1994textos
10,ner2-011,ner2,011,Depois disto fiquei muito alêgre.,Morarame tãkye toehse ywy,Morarame	tãkye	to-eh-se	ywy,então	feliz	camp-estar_ficar-comp	eu,INT ADJ PREF-VI -SUF PR,2,morarame tãkye toehse ywy,morarame tãkye to�eh�se ywy,,apa,koehns1994textos
12,ner2-013,ner2,013,"Assim que eu matei aquilo fiquei com febre quando era ainda pequeno, era um pouco grande só.","Mokyro woxípo sa rokene, oxirohse ywy, pitiko rokene. ro jahtao, zumo ro pohto",Mokyro	wo-xípo	sã	rokene	oxiroh-se	ywy	pitiko	rokene	ro	j-a-htao	zuno	ro	pohto,aquele/a	matar-depois_de	parece	somente	febre-contPT	eu	pequena	somente	ainda	lSO_pos-ser_estar-quando	grande	mesmo	mais_ou_menos,DEM VT -SUF IDEOF PP VI -SUF PR ADJ PP PP PREF -VST -ADV ADJ PP PP,3,mokyro woxi�po sa rokene oxirohse ywy pitiko rokene ro jahtao zumo ro pohto,mokyro wo�xi�po sã rokene oxiroh�se ywy pitiko rokene ro j�a�htao zuno ro pohto,3,apa,koehns1994textos
18,ner2-019,ner2,019,Ficava co muita febre.,Oxirohse ywy itamurume.,oxiroh-se	ywy	itamurume,febre-contPT	eu	muitos,VI -SUF PR ADJ,4,oxirohse ywy itamurume,oxiroh�se ywy itamurume,4,apa,koehns1994textos
21,ner2-022,ner2,022,Não entendi nada da morte da minha mãe.,Tuaro pyra ywy aja orikyry a.,Tuaro	pyra	ywy	aja	orih-ry	a,saber	neg	eu	mamãe	morrer-NQM	para_por,ADJ ADV PR N VI -SUF REL,4,tuaro pyra ywy aja orikyry a,tuaro pyra ywy aja orih�ry a,,apa,koehns1994textos
25,ner2-026,ner2,026,A primeira noite chupava no peito do finado irmão na ausência da minha mãe falecida.,"Mame toiro tynyhse ahtao, aorihtyã suhsuru poko tõmehse ywy aja esahpyo.",Mame	toiro	ty-nyh-se	a-htao	a-orih-tyã	suhsu-ru	poko	to-ẽmeh-se	ywy	aja	esahpyo,depois	uma	comp-dormir-comp	ser_estar-quando	GenPr-morrer-pl_nom	peito-pos	occupar_com	pl-amanhecer-desej	eu	mamãe	ausência,INT ADJ PREF-VI -SUF VST -ADV PREF -VI -SUF N -SUF REL SUF-VI -VP PR N ADV,5,mame toiro tynyhse ahtao aorihtyã suhsuru poko tõmehse ywy aja esahpyo,mame toiro ty�nyh�se a�htao a�orih�tyã suhsu�ru poko to�ẽmeh�se ywy aja esahpyo,,apa,koehns1994textos
37,ner2-038,ner2,038,Então alguém chegou.,Morarame pore kary moro.,Morarame	pore	ka-ry	moro,então	chegar	dizer_fazer-NOM	açãoFoco,INT IDEOF VEXP -SUF DEM,7,morarame pore kary moro,morarame pore ka�ry moro,,apa,koehns1994textos
91,po2-004,po2,004,Eles se encontraram.,Mame tõseporyse toto.,Mame	to-os-epory-se	toto,depois	comp-reflx_se-encontrar-ccnpASP	grupo,INT PREF-PREF -VT -SUF PP,1,mame tõseporyse toto,mame to�os�epory�se toto,,apa,koehns1994textos
96,po2-009,po2,009,Quando estava alto ele ouviu uma onça.,"Kae ahtao, kaikuxi totase eya.",Kae	a-htao	kaikuxi	to-eta-se	e-ya,alto	GenPr-quando	onça	comp-ouvir-comp	3-para_por,ADJ PREF -ADV N PREF-VT -SUF PREF-REL,2,kae ahtao kaikuxi totase eya,kae a�htao kaikuxi to�eta�se e�ya,,apa,koehns1994textos
108,po2-021,po2,021,"Deixe o aqui para ela comer, disseram mas nada efetuou.","Taro nexino zohme, tykase toh repe.",Taro	n-exi-no	z-oh-me	ty-ka-se	toh	repe,aqui	3pS-estar-hortativo	dele-came-ccmo	comp-dizer_fazer-conp	grupo	frust,LOC PREF-VST -SUF PREF-N -SUF PREF-VEXP -SUF PP PP,4,taro nexino zohme tykase toh repe,taro n�exi�no z�oh�me ty�ka�se toh repe,,apa,koehns1994textos
109,po2-022,po2,022,Mas a onça não queria o macaco.,Yrcme kaikuxi arimi se pyra,Yrcme	kaikuxi	arimi	se	pyra,mas	onça	macaco	desej	neg,CONJ N N VP ADV,4,yr�me kaikuxi arimi se pyra,yr�me kaikuxi arimi se pyra,,apa,koehns1994textos
113,po2-026,po2,026,E continuaram indo.,"Toytose toto, toytose toto.",to-yto-se	toto	to-yto-se	toto,comp-ir-comp	grupo	comp-ir-comp	grupo,PREF-VM -SUF PP PREF-VM -SUF PP,5,toytose toto toytose toto,to�yto�se toto to�yto�se toto,,apa,koehns1994textos
