count,verb,form,%\m,%\w
16,be-1,a,0.031936127744510975,0.0463768115942029
8,go,ɨto,0.015968063872255488,0.02318840579710145
6,be-2,eʃi,0.011976047904191617,0.017391304347826087
3,come,oepɨ,0.005988023952095809,0.008695652173913044
2,arrive,e-poreʔka,0.003992015968063872,0.005797101449275362
2,fail,e-kureʔ,0.003992015968063872,0.005797101449275362
2,ask,ot-urupo,0.003992015968063872,0.005797101449275362
2,eat,ot-uʔ,0.003992015968063872,0.005797101449275362
2,say,ka,0.003992015968063872,0.005797101449275362
1,divide_up,at-apiaka,0.001996007984031936,0.002898550724637681
1,spend_night,e-meʔ,0.001996007984031936,0.002898550724637681
1,land,ot-ɨrɨʔka,0.001996007984031936,0.002898550724637681
1,suffer,e-tuarima,0.001996007984031936,0.002898550724637681
